N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
24,SK,"265,000","3,000",+1.15%,200,"186,455","70,360",19.55,"166,887",17.10,1.11
25,HMM,"39,300","1,000",-2.48%,"5,000","159,319","405,392",9.84,"5,876,971",24.89,8.93
26,한국전력,"23,750",100,-0.42%,"5,000","152,466","641,964",15.28,"1,572,086",12.79,2.91
27,LG,"96,400","3,200",+3.43%,"5,000","151,638","157,301",33.34,"360,283",6.04,7.50
28,삼성생명,"74,600",300,+0.40%,500,"149,200","200,000",12.95,"226,131",8.52,3.53
29,SK아이이테크놀로지,"209,000",0,0.00%,"1,000","149,012","71,298",9.21,"185,436",137.41,11.00
30,삼성전기,"184,500","2,000",+1.10%,"5,000","137,810","74,694",32.58,"321,164",16.08,10.92
31,엔씨소프트,"622,000","11,000",-1.74%,500,"136,554","21,954",47.85,"335,919",33.39,20.83
32,하나금융지주,"44,650",0,0.00%,"5,000","134,058","300,242",68.13,"692,959",4.40,8.96
33,삼성에스디에스,"171,500","1,500",+0.88%,500,"132,703","77,378",11.63,"76,491",20.60,6.71
34,아모레퍼시픽,"224,500",0,0.00%,500,"131,239","58,458",33.45,"164,317",104.18,0.78
35,포스코케미칼,"151,000",500,+0.33%,500,"116,969","77,463",7.91,"251,988",109.10,2.96
36,KT&G,"81,900",100,+0.12%,"5,000","112,443","137,292",37.19,"309,459",10.15,13.22
37,두산중공업,"21,750",450,+2.11%,"5,000","111,767","513,869",9.49,"8,600,448",-51.66,-37.20
38,하이브,"281,000",500,+0.18%,500,"109,733","39,051",16.55,"114,105",99.96,12.52
39,대한항공,"31,200",400,+1.30%,"5,000","108,520","347,821",11.47,"1,709,264",16.24,-7.22
40,삼성화재,"229,000","1,000",+0.44%,500,"108,488","47,375",48.66,"51,187",10.85,4.96
41,넷마블,"126,000",0,0.00%,100,"108,301","85,954",22.61,"126,703",37.85,6.35
42,S-Oil,"92,700","1,000",+1.09%,"2,500","104,364","112,583",77.99,"240,179",11.92,-13.07
43,SK바이오팜,"125,000","3,000",+2.46%,500,"97,892","78,313",6.68,"268,641",-165.34,-135.18
44,고려아연,"517,000",0,0.00%,"5,000","97,558","18,870",20.08,"25,220",13.49,8.37
45,한온시스템,"16,500",250,+1.54%,100,"88,077","533,800",17.99,"1,116,765",30.28,5.09
46,KT,"32,900",50,-0.15%,"5,000","85,906","261,112",44.23,"532,734",9.39,4.76
47,롯데케미칼,"249,000","3,000",+1.22%,"5,000","85,346","34,275",26.88,"69,710",7.14,1.22
48,우리금융지주,"11,250",0,0.00%,"5,000","81,907","728,061",28.39,"1,599,872",3.93,5.87
49,한국조선해양,"113,500",500,-0.44%,"5,000","80,327","70,773",18.39,"485,605",-5.18,-7.42
50,기업은행,"10,400",50,+0.48%,"5,000","77,407","744,301",12.99,"637,483",4.37,6.44
51,LG디스플레이,"20,950",750,+3.71%,"5,000","74,962","357,816",16.97,"4,202,006",6.30,-0.79
52,한화솔루션,"38,900",650,-1.64%,"5,000","74,407","191,278",17.10,"1,304,492",9.65,5.30
53,현대글로비스,"190,000","3,000",+1.60%,500,"71,250","37,500",34.63,"78,718",10.57,12.45
54,현대제철,"50,900",500,+0.99%,"5,000","67,924","133,446",20.66,"374,244",28.12,-2.59
55,CJ제일제당,"444,500","1,000",+0.23%,"5,000","66,916","15,054",24.38,"29,283",15.49,13.50
56,LG유플러스,"14,400",50,+0.35%,"5,000","62,872","436,611",33.16,"1,157,054",10.86,6.46
57,현대건설,"55,000","1,000",+1.85%,"5,000","61,246","111,356",20.78,"496,193",49.64,1.84
58,강원랜드,"28,350",50,+0.18%,500,"60,652","213,940",19.65,"979,014",-64.43,-7.92
59,금호석유,"192,000",500,+0.26%,"5,000","58,498","30,468",19.98,"159,210",4.55,20.18
60,코웨이,"77,600","1,300",+1.70%,500,"57,268","73,800",59.67,"156,669",13.44,31.51
61,한국타이어앤테크놀로지,"46,150",150,-0.32%,500,"57,168","123,875",41.67,"181,617",9.27,5.12
62,SKC,"150,500","6,000",+4.15%,"5,000","56,992","37,868",12.78,"457,682",130.87,2.21
63,F&F,"741,000","9,000",+1.23%,500,"56,771","7,661",10.75,"33,546",N/A,N/A
64,미래에셋증권,"8,880",20,-0.22%,"5,000","56,416","635,316",13.86,"1,218,860",6.74,8.94
65,KODEX 200,"41,930",270,+0.65%,0,"54,593","130,200",3.88,"2,807,005",N/A,N/A
66,LG이노텍,"225,500","13,500",+6.37%,"5,000","53,369","23,667",28.89,"1,228,092",9.76,10.20
67,한국금융지주,"93,200",200,-0.21%,"5,000","51,937","55,726",34.84,"124,681",4.43,16.27
68,현대중공업지주,"65,300",500,+0.77%,"1,000","51,582","78,993",17.53,"139,136",-15.08,-8.12
69,맥쿼리인프라,"12,600",50,+0.40%,0,"51,011","404,846",14.77,"496,052",N/A,N/A
70,한미사이언스,"74,500",700,+0.95%,500,"50,142","67,305",1.51,"109,082",164.10,3.47
71,이마트,"179,000","2,000",-1.10%,"5,000","49,898","27,876",35.47,"113,418",8.83,4.05
